type,year_built,beds,baths,baths_full,baths_half,garage,lot_sqft,sqft,stories,lastSoldOn,listPrice,status,sold_year,sold_month,age,status_encoded
condo,1978,1.0,1.0,1.0,1.0,2.0,436.0,680.0,1.0,2018-10-12,250000.0,for_sale,2018,10,46,0
condo,1984,2.0,1.0,1.0,1.0,2.0,436.0,930.0,1.0,2014-07-03,309000.0,for_sale,2014,7,40,0
townhouse,2015,2.0,3.0,1.0,1.0,1.0,871.0,1299.0,3.0,2020-07-09,1100000.0,for_sale,2020,7,9,0
townhouse,2009,3.0,3.0,2.0,1.0,1.0,871.0,1292.0,2.0,2009-11-20,330000.0,for_sale,2009,11,15,0
condo,1983,2.0,3.0,3.0,1.0,2.0,13939.0,1276.0,2.0,2018-05-31,272500.0,for_sale,2018,5,41,0
townhouse,2022,4.0,3.0,3.0,1.0,2.0,1742.0,1953.0,3.0,2018-05-31,503000.0,for_sale,2018,5,2,0
townhouse,2019,3.0,3.0,2.0,1.0,2.0,871.0,1799.0,3.0,2018-05-31,479000.0,for_sale,2018,5,5,0
single_family,2008,2.0,1.0,2.0,1.0,2.0,263538.0,864.0,2.0,2018-05-31,89900.0,for_sale,2018,5,16,0
single_family,1998,3.0,3.0,3.0,1.0,2.0,23087.0,1728.0,3.0,2021-03-30,375000.0,for_sale,2021,3,26,0
condo,2020,3.0,2.0,2.0,1.0,1.0,1307.0,1272.0,1.0,2020-09-29,329900.0,for_sale,2020,9,4,0
townhouse,2020,3.0,3.0,2.0,1.0,2.0,1307.0,1752.0,2.0,2020-04-29,424900.0,for_sale,2020,4,4,0
townhouse,2012,3.0,3.0,2.0,1.0,2.0,1307.0,2242.0,3.0,2023-08-15,515000.0,for_sale,2023,8,12,0
condo,2000,2.0,3.0,3.0,1.0,1.0,1369.0,1369.0,1.0,2018-05-31,1525000.0,for_sale,2018,5,24,0
single_family,2003,3.0,3.0,2.0,1.0,2.0,13939.0,0.0,2.0,2018-05-31,519990.0,for_sale,2018,5,21,0
single_family,2022,6.0,3.0,3.0,1.0,2.0,20909.0,3450.0,2.0,2018-05-31,685000.0,for_sale,2018,5,2,0
townhouse,2007,4.0,4.0,2.0,1.0,2.0,871.0,2194.0,3.0,2018-10-26,475000.0,for_sale,2018,10,17,0
single_family,2024,5.0,5.0,3.0,1.0,3.0,10019.0,5128.0,2.0,2018-05-31,1325000.0,for_sale,2018,5,0,0
condo,1998,3.0,2.0,1.0,1.0,2.0,2178.0,1454.0,1.0,2016-09-12,395000.0,for_sale,2016,9,26,0
townhouse,1973,3.0,4.0,2.0,1.0,2.0,1742.0,2280.0,3.0,2023-03-01,374900.0,for_sale,2023,3,51,0
single_family,2003,3.0,3.0,2.0,1.0,2.0,13939.0,2463.0,2.0,2018-05-31,587990.0,for_sale,2018,5,21,0
single_family,2001,5.0,3.0,3.0,1.0,2.0,14810.0,2836.0,2.0,2018-05-31,475000.0,for_sale,2018,5,23,0
single_family,2024,3.0,3.0,2.0,1.0,3.0,11326.0,4067.0,2.0,2018-05-31,589990.0,for_sale,2018,5,0,0
single_family,2024,6.0,4.0,4.0,1.0,4.0,18731.0,3798.0,2.0,2018-05-31,862146.0,for_sale,2018,5,0,0
townhouse,2020,5.0,4.0,3.0,1.0,2.0,871.0,2372.0,3.0,2020-11-20,530000.0,for_sale,2020,11,4,0
single_family,2024,3.0,2.0,2.0,1.0,2.0,7405.0,1519.0,1.0,2018-05-31,488832.0,for_sale,2018,5,0,0
single_family,2024,4.0,3.0,2.0,1.0,3.0,10454.0,3742.0,3.0,2018-05-31,624990.0,for_sale,2018,5,0,0
single_family,2007,3.0,2.0,1.0,1.0,2.0,23958.0,1976.0,2.0,2018-05-31,329000.0,for_sale,2018,5,17,0
single_family,2024,5.0,5.0,4.0,1.0,3.0,10019.0,3484.0,3.0,2018-05-31,889999.0,for_sale,2018,5,0,0
single_family,2003,7.0,5.0,4.0,1.0,3.0,10019.0,3766.0,2.0,2019-10-08,750000.0,for_sale,2019,10,21,0
condo,2005,3.0,2.0,2.0,1.0,2.0,13939.0,1111.0,2.0,2018-05-31,275000.0,for_sale,2018,5,19,0
single_family,2024,3.0,3.0,2.0,1.0,2.0,7405.0,3510.0,3.0,2018-05-31,539990.0,for_sale,2018,5,0,0
single_family,2024,5.0,3.0,3.0,1.0,3.0,20909.0,4248.0,3.0,2018-05-31,814900.0,for_sale,2018,5,0,0
